,business_id,name,latitude,longitude,address,stars_y,city,is_recommended
0,rDMptJYWtnMhpQu_rRXHng,McDonald's,33.6070702,-112.0643825,719 E Thunderbird Rd,1.0909090909090908,Phoenix,0
1,1WBkAuQg81kokZIPMpn9Zg,Charr An American Burger Bar,33.60731,-112.063404,"777 E Thunderbird Rd, Ste 107",3.1551724137931036,Phoenix,0
2,iPa__LOhse-hobC2Xmp-Kw,McDonald's,33.508764899999996,-112.04624,1635 E Camelback Rd,2.764705882352941,Phoenix,0
3,kKx8iCJkomVQBdWHnmmOiA,Little Caesars Pizza,33.3948766,-111.60019380000001,10720 E Southern Ave,2.5,Mesa,0
4,YhV93k9uiMdr3FlV4FHjwA,Caviness Studio,33.4499672,-112.07022250000001,,5.0,Phoenix,0
5,VdlPZg2NAu8t8GkdbPLecg,Tandoori Times Indian Bistro,33.5552118623,-111.900456296,"8140 N Hayden Rd, Ste H115",3.4106463878326996,Scottsdale,0
6,QkG3KUXwqZBW18A9k1xqCA,Red Lobster,33.4787353,-112.2213794,2810 North 75th Ave,2.6486486486486487,Phoenix,0
7,5XejqzaFmtkZMstJS5Iy-w,D'Lish Cafe,33.480301399999995,-112.0805864,503 W Thomas Rd,3.8378378378378377,Phoenix,0
8,MTH-AcNyWfsBa9sXp04HcQ,Firehouse Subs,33.3796209,-111.7571603,"3420 E Baseline Rd, Ste 101",3.6707317073170733,Mesa,0
9,nigYwB_m1TQ1WosjSWi-Hw,Simply Burgers,33.3496582,-111.8212381,1455 W Elliot Rd,3.0,Gilbert,0
10,2v-8QQfMLX2PCz-0S6gISQ,Papa John's Pizza,33.552869500199996,-112.133711849,3441 W Northern Ave,2.4285714285714284,Phoenix,0
11,M3uV9Y3EDSpy9d4YwyNSAQ,Yakiramen,33.5823628,-112.1498845,10605 N 43rd Ave,4.015151515151516,Phoenix,0
12,Qv0OEziLJwyAqcgtrTsA4w,Luke's Of Chicago,33.6228299458,-111.892189979,15223 N Northsight Blvd,3.5,Scottsdale,0
13,6PwKC0dqP9uI85FEP86iPQ,Red Viet Cuisine - Sushi,33.3210685814,-111.68517183200001,"5221 S Power Rd, Ste 104",3.2560975609756095,MESA,0
14,U1ZVgF-kfkvv_rcoe0RglQ,Pho Noodles,33.4887595,-112.08240184200001,3417 N 7th Ave,4.313953488372093,Phoenix,0
15,FfI9FOaQqzUxixw6_glt3Q,Affinito's Bistro,33.8649643,-112.1388202,"3655 W Anthem Way, Ste C-137",3.1666666666666665,Phoenix,0
16,3b4efqz06QrLQ_w2xLc4pA,Olive Garden Italian Restaurant,33.5803023,-112.1196529,10223 N Metro Parkway E,3.225,Phoenix,0
17,RAUI7uwpMP6dlcHXkavwHg,Smashburger,33.3764804463,-112.171588953,5215 W Baseline Rd,2.9565217391304346,Laveen,0
18,irYAkavSVtIEyGOsHK-yPw,Palette,33.4667324,-112.0727233,1625 N Central Ave,3.604651162790698,Phoenix,0
19,mFE7N0p3f_7vcMTUy76ifw,Village Inn,33.279239600000004,-111.79284109999999,2780 E Germann Rd,3.4693877551020407,Chandler,0
20,9zSRAOUIM3I2ZnY9xwvioQ,Sandstone Cafe,33.3183691,-111.9276449,4959 W Ray Rd,2.9,Chandler,0
21,_eKvk2GoGKb3CoYolHgRlg,Fresko A Mediterranean Kitchen,33.347893,-111.97682179999998,5033 E Elliot Rd,4.5227272727272725,Phoenix,0
22,SAae44V24aD7y_HpgxjhPA,Nando's Mexican Cafe,33.4658931,-111.68582659999998,6715 E McDowell Rd,3.3125,Mesa,0
23,kRgP3LxO2ugBrC1YpWLncA,Bangkok Thai Bar-B-Q,33.611520848000005,-112.170486564,13828 N 51st Ave,3.9236641221374047,Glendale,0
24,mfQlXkeNhW1vz_1iq63mNQ,Del Taco,33.454392999999996,-112.34040759999999,1483 N Dysart Rd,2.5652173913043477,Avondale,0
25,owwKUc2VFUMgRPZFEgrtKA,Pho Dam,33.336267600000006,-111.8741442,2025 N Dobson Rd,3.764705882352941,Chandler,0
26,6CpAWkTcqqNtGAfOsPeFUw,Arby's,33.6392628656,-112.275256168,17032 N 99th Ave,3.5555555555555554,Sun City,0
27,pBoWsom3mZFYo9EucIWRDg,Kabuki Sushi & Grill,33.6114217,-112.23952050000001,"8378 W Thunderbird Rd, Ste 107",3.949044585987261,Peoria,0
28,7J_8O6w79raFRSORc3bRew,AZ Pho & Grill,33.2606908,-111.7903737,"3140 S Gilbert Rd, Ste 1",3.9437751004016066,Chandler,0
29,qB15WElGAlI_eGWjn0kT2w,Taco Bell,33.6259,-112.0136,15240 N. 32nd Street,2.0555555555555554,Phoenix,0
30,rSCevr5tQJTxPzMIq3n5Gw,Yoshi's Asian Grill,33.4356207,-112.00954569999999,3800 E Sky Harbor Blvd,2.642857142857143,Phoenix,0
31,tCJGEQVqjELLYv3fPNX5Rw,Fleming's Prime Steakhouse-Scottsdale,33.674238,-111.889288,20753 N Pima Rd,3.626315789473684,Scottsdale,0
32,rv9T1qGHbh9eXqFpKEPy_A,Sesame Inn Carefree,33.7983014,-111.9307437,34482 N Scottsdale Rd,3.3222222222222224,Scottsdale,0
33,1Nq7GxjvEDgAJxBeOjR_9Q,Burrito Express,33.423595399999996,-111.8568585,450 N Alma School R,2.6451612903225805,Mesa,0
34,to2cGMKdaw7ZHbXMzpfhlA,Filiberto's Mexican Rest,33.4660114,-112.0123338,3218 E Mcdowell Rd,3.142857142857143,Phoenix,0
35,X2oxkKB-wlu8xV0P8fbfiQ,Mo's Chicken,33.4800487,-112.13470179999999,3505 W Thomas Rd,3.111111111111111,Phoenix,0
36,-Ut87cwGFsO3444Rd11p0Q,Federico's Mexican Food,33.508441,-112.341953,13132 W Camelback Rd,3.3968253968253967,Litchfield Park,0
37,D1E_6MBFKeU2a7EQ4IwoEQ,Little Caesars Pizza,33.6230548882,-112.33975752,13011 W Greenway Blvd,2.3333333333333335,El Mirage,0
38,LPq-IOpA_VrZ2xRh1A6Ssw,The Saguaro Restaurant,33.494121299999996,-111.92276159999999,4000 North Drinkwater Blvd,3.7,Scottsdale,0
39,0LKcSabd5Gd5oz-qrHTzZg,Cin-Cin Restaurant,33.5012604,-111.92336329999999,4425 N Buckboard Trl.,3.2,Scottsdale,0
40,mZK8IBkMFzOX2UmA7_BylA,IHOP,33.3493477,-111.8565147,935 W Elliot Rd,2.4871794871794872,Chandler,0
41,e4tpnasQOzkoIegUg__aiw,Dinkey Donkey,33.8271931,-111.9237212,37636 N Tom Darlington Rd,4.666666666666667,Cave Creek,0
42,OlGImeovM5U14T5q5DnVSg,Big Wa,33.2195026,-111.82471809999998,990 E Riggs Rd,3.25,Chandler,0
